i,A,C,required_margin,required_argmin_y,stored_margin,stored_argmin_y,abs_margin_diff,abs_argmin_y_diff,num_check_points,d0,w0,pi0,d1,w1,pi1,d2,w2,pi2,d3,w3,pi3
38,1.8100463392857142,1.8098508482142857,0.0031685810194198583,2.697607259345017,0.0031685810194199693,2.697607259350905,1.1102230246251565e-16,5.88773474419213e-12,5,1.8174751,2.4855791077763483,38,2.5579349999999996,0.0,38,2.675015475,0.0,38,2.7844905749999995,0.27757451025938246,38
39,1.8098508482142857,1.809655357142857,0.003282192501327552,2.6982383990345733,0.003282192501327552,2.698238399021804,0.0,1.27693411400287e-11,5,1.8174751,2.500548066828895,39,2.5579349999999996,0.0,39,2.675015475,0.0,39,2.7844905749999995,0.27684201366687894,39
40,1.809655357142857,1.8094598660714285,0.0033918870161416814,2.6988700077487238,0.0033918870161419035,2.6988700077509256,2.220446049250313e-16,2.2017943024366105e-12,5,1.8174751,2.5157001121979947,40,2.5579349999999996,0.0,40,2.675015475,0.0,40,2.7844905749999995,0.27610503307982376,40
41,1.8094598660714285,1.809264375,0.0034975772122614046,2.699502086443487,0.0034975772122612936,2.6995020864436867,1.1102230246251565e-16,1.9984014443252818e-13,5,1.8174751,2.5310388118198266,41,2.5579349999999996,0.0,41,2.675015475,0.0,41,2.7844905749999995,0.27536350188071546,41
42,1.809264375,1.8090688839285713,0.003599173276105927,2.7001346360783813,0.003599173276105927,2.700134636084563,0.0,6.181721801112872e-12,5,1.8174751,2.546567829429867,42,2.5579349999999996,0.0,42,2.675015475,0.0,42,2.7844905749999995,0.2746173519237983,42
43,1.8090688839285713,1.8088733928571428,0.0036965828452021343,2.700767657616476,0.0036965828452022453,2.700767657607642,1.1102230246251565e-16,8.833822562337446e-12,5,1.8174751,2.562290927852006,43,2.5579349999999996,0.0,43,2.675015475,0.0,43,2.7844905749999995,0.2738665134879228,43
44,1.8088733928571428,1.8086779017857142,0.003789710917623368,2.701401152024392,0.003789710917623368,2.701401152026456,0.0,2.064126647383091e-12,5,1.8174751,2.5782119724248767,44,2.5579349999999996,0.0,44,2.675015475,0.0,44,2.7844905749999995,0.27311091522764747,44
45,1.8086779017857142,1.8084824107142856,0.0038784597574618163,2.7020351202723436,0.0038784597574617052,2.702035120260873,1.1102230246251565e-16,1.1470824290427117e-11,5,1.8174751,2.5943349345735696,45,2.5579349999999996,0.0,45,2.675015475,0.0,45,2.7844905749999995,0.27235048412237745,45
46,1.8084824107142856,1.808286919642857,0.0039627287962830104,2.70266956333416,0.0039627287962830104,2.7026695633303186,0.0,3.841371665203042e-12,5,1.8174751,2.6106638955331136,46,2.5579349999999996,0.0,46,2.675015475,0.0,46,2.7844905749999995,0.27158514542355133,46
47,1.808286919642857,1.8080914285714285,0.004042414530184946,2.703304482187302,0.004042414530185057,2.703304482185773,1.1102230246251565e-16,1.5289991495137656e-12,5,1.8174751,2.627203050231391,47,2.5579349999999996,0.0,47,2.675015475,0.0,47,2.7844905749999995,0.2708148225997165,47
48,1.8080914285714285,1.8078959374999999,0.004117410412414979,2.703939877812907,0.00411741041241509,2.7039398778153845,1.1102230246251565e-16,2.4775737017534993e-12,5,1.8174751,2.6439567113407243,48,2.5579349999999996,0.0,48,2.675015475,0.0,48,2.7844905749999995,0.2700394372794068,48
49,1.8078959374999999,1.8077004464285713,0.004187606741152261,2.704575751195792,0.00418760674115215,2.704575751188005,1.1102230246251565e-16,7.787104294720848e-12,5,1.8174751,2.660929313504537,49,2.5579349999999996,0.0,49,2.675015475,0.0,49,2.7844905749999995,0.26925890919176276,49
50,1.8077004464285713,1.8075049553571427,0.004252890542331578,2.705212103324506,0.004252890542331578,2.7052121033344805,0.0,9.974687742442256e-12,5,1.8174751,2.6781254177510885,50,2.5579349999999996,0.0,50,2.675015475,0.0,50,2.7844905749999995,0.26847315610469197,50
51,1.8075049553571427,1.8073094642857142,0.00431314544714867,2.7058489351913266,0.004313145447148781,2.7058489351913884,1.1102230246251565e-16,6.17284001691587e-14,5,1.8174751,2.695549716100683,51,2.5579349999999996,0.0,51,2.675015475,0.0,51,2.7844905749999995,0.26768209376057084,51
