i,required_margin,required_argmin_y,num_check_points,stored_margin
97,0.006051243876454083124825403488889140856353440616795795716938943004988957902914462313060013,2.68661439712598827221886927653426717848795595746160927628106554063191538622745712486521140,6,0.006051243876453949
98,0.006092419803812546240502145523579356821529206564077054858459871249742688028302956573574462,2.68623729250679284457894894906160581665095292039904936675247910834477567816536760727400988,6,0.006092419803812477
99,0.006134152611117782084159266320585052208992691962823852465530662977845492194752539644348867,2.68581503051607479134857534588312548109866224585479374605334660329335596155433034980294374,6,0.006134152611117716
100,0.006176421459405320425943326952669504730208265514863753049040397386900913475932050123849529,2.68536771422149783400720005460562775493832569158252492068896896460447918147269210539798658,6,0.006176421459405224
101,0.006219358271471421436465904589566438371229648100799588437302103974169853931967471225021496,2.68502389362308344199809443250086372394969808756399277798910120674339980419832591311686210,6,0.0062193582714713536
102,0.006262864511344439050168686327682039737605392543192771702974043243737163755043002800260877,2.68462350319797664742125088770907299755429975555101067151512949030501558287045353185303856,6,0.006262864511344279
103,0.006307032808125969098775213766421351804034161164081639781115728213684263170379418491318531,2.68417572409933016189962337600932384652326154794413240310643902081775364268562332157326234,6,0.006307032808126389
104,0.006351852847529896959172222607063098518642024729640868167638914134011504287367705394578475,2.68375309852710711196428955407475277788361369116625658479999616676571099088727701788252888,6,0.00635185284753037
105,0.006397386041452965582328054936238252440612443707597498112742949951099851513037191992427550,2.68335264051990910707451419475639851922596264679502542765016643544060194356602233350822262,6,0.006397386041453568
106,0.006443566365727018321638907676999039188058809942042767298381181689214500338020918838094556,2.68297544827161552288893032360908487436255068688248985253281365273700333449519415893080550,6,0.0064435663657276265
107,0.006490456466849077351519437540522097534466787155731645385508825808140030314461247429410659,2.68262695539610074976780841122680596851323340235536066804304876328857970564260868520072176,6,0.006490456466849648
108,0.006538171042394774877932738645390203038932296598396770426208356830139244571776159084014316,2.68210348103555342187393982900903715322831664690395907776498637014378572533853103587755358,6,0.006538171042395402
109,0.006584584518020499468854877562016123589576069114735928083906021144067277456189008615808067,2.74960982905903899584597633204037622690653792017481226337973137246573069770910440627544373,6,0.006584584518019243
110,0.006628575922130304811843860805931939731044661989631143380950272674890124365626910715111848,2.75016678918534834969205218454168762154420640737833348508032530194983939117972857592224866,6,0.006628575922129176
111,0.006669861443375787841144686188066376866192242144012272934871011957180557925634942550477865,2.67881838396108742424104393544169296150490770556365928248173467363231520669000028877409272,6,0.006669861443376446
112,0.006708311949520582810019469710639668210242675176864938653064107759991601961935016796243943,2.67769642113949050731305749487536513452860542171619674125692870968169789012470265356093358,6,0.006708311949522039
113,0.006743745586201311221198006319628673240699481234776721499106768825361361778734696995277389,2.67655979669989223120735547518118005721035748631135886337846107219458389344391771747508168,6,0.006743745586202721
114,0.006775968630874220031314628134438379876781053637061047619385026137612569177495782860524082,2.67540776883935596908185180929789368083643876554593374143960609752514139050657072249852264,6,0.006775968630875595
115,0.006804690268857277046774201847220929279777237142552513226562167719424964084235838532168743,2.75292318579777628824100387526645443183749723475647940636747529750034896347553541495254342,6,0.006804690268858327
116,0.006829879587632143463498815229622833498845188413499318362962146454614559268385796671323272,2.75347023812081674666890512942608059980777058419651901306242381353271223478789573763292420,6,0.0068298795876331475
117,0.006851196303580730916131475535305679168402189371791179972983556712494100913929341315424873,2.67185154824487322908040662154846300220714245684177602537386726215225003671562357515142652,6,0.006851196303582108
118,0.006868417908150257392751795825367481392764868856336793140508384988931026033694448547762834,2.67063004292460940793469235709889879578989141364803807619929996596071938898627714820163306,6,0.006868417908151625
119,0.006881213999195690098433975536918849188540957720823459825904424077785124645650544559720520,2.75510624340072274682348948237331407701612131466100279902017899444645782933417265192967642,6,0.0068812139991965005
